OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,OrderAmt
10279,LEHMS,8,1996-08-13,1996-09-10,1996-08-16,2,25.83,"Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.",,60528,Germany,351.0
10280,BERGS,2,1996-08-14,1996-09-11,1996-09-12,1,8.98,"Berglunds snabbköp","Berguvsvägen  8","Luleå",,"S-958 22",Sweden,613.2
10281,ROMEY,4,1996-08-14,1996-08-28,1996-08-21,1,2.94,"Romero y tomillo","Gran Vía 1",Madrid,,28001,Spain,86.5
10282,ROMEY,4,1996-08-15,1996-09-12,1996-08-21,1,12.69,"Romero y tomillo","Gran Vía 1",Madrid,,28001,Spain,155.4
10283,LILAS,3,1996-08-16,1996-09-13,1996-08-23,3,84.81,LILA-Supermercado,"Carrera 52 con Ave. Bolívar #65-98 Llano Largo",Barquisimeto,Lara,3508,Venezuela,1414.8
10284,LEHMS,4,1996-08-19,1996-09-16,1996-08-27,1,76.56,"Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.",,60528,Germany,1170.375
10285,QUICK,1,1996-08-20,1996-09-17,1996-08-26,2,76.83,QUICK-Stop,"Taucherstraße 10",Cunewalde,,1307,Germany,1743.36
10286,QUICK,8,1996-08-21,1996-09-18,1996-08-30,3,229.24,QUICK-Stop,"Taucherstraße 10",Cunewalde,,1307,Germany,3016.0
10287,RICAR,8,1996-08-22,1996-09-19,1996-08-28,3,12.76,"Ricardo Adocicados","Av. Copacabana 267","Rio de Janeiro",RJ,02389-890,Brazil,819.0
10288,REGGC,4,1996-08-23,1996-09-20,1996-09-03,1,7.45,"Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia",,42100,Italy,80.1
10289,BSBEV,7,1996-08-26,1996-09-23,1996-08-28,3,22.77,"B's Beverages","Fauntleroy Circus",London,,"EC2 5NT",UK,479.4
10290,COMMI,8,1996-08-27,1996-09-24,1996-09-03,1,79.7,"Comércio Mineiro","Av. dos Lusíadas 23","Sao Paulo",SP,05432-043,Brazil,2169.0
10291,QUEDE,6,1996-08-27,1996-09-24,1996-09-04,2,6.4,"Que Delícia","Rua da Panificadora 12","Rio de Janeiro",RJ,02389-673,Brazil,497.52
10292,TRADH,1,1996-08-28,1996-09-25,1996-09-02,2,1.35,"Tradiçao Hipermercados","Av. Inês de Castro 414","Sao Paulo",SP,05634-030,Brazil,1296.0
10293,TORTU,1,1996-08-29,1996-09-26,1996-09-11,3,21.18,"Tortuga Restaurante","Avda. Azteca 123","México D.F.",,5033,Mexico,848.7
10294,RATTC,4,1996-08-30,1996-09-27,1996-09-05,2,147.26,"Rattlesnake Canyon Grocery","2817 Milton Dr.",Albuquerque,NM,87110,USA,1887.6
10295,VINET,2,1996-09-02,1996-09-30,1996-09-10,2,1.15,"Vins et alcools Chevalier","59 rue de l'Abbaye",Reims,,51100,France,121.6
10296,LILAS,6,1996-09-03,1996-10-01,1996-09-11,1,0.12,LILA-Supermercado,"Carrera 52 con Ave. Bolívar #65-98 Llano Largo",Barquisimeto,Lara,3508,Venezuela,1050.6
10297,BLONP,5,1996-09-04,1996-10-16,1996-09-10,2,5.74,"Blondel père et fils","24 place Kléber",Strasbourg,,67000,France,1420.0
10298,HUNGO,6,1996-09-05,1996-10-03,1996-09-11,2,168.22,"Hungry Owl All-Night Grocers","8 Johnstown Road",Cork,"Co. Cork",,Ireland,2645.0
10299,RICAR,4,1996-09-06,1996-10-04,1996-09-13,2,29.76,"Ricardo Adocicados","Av. Copacabana 267","Rio de Janeiro",RJ,02389-890,Brazil,349.5
10300,MAGAA,2,1996-09-09,1996-10-07,1996-09-18,2,17.68,"Magazzini Alimentari Riuniti","Via Ludovico il Moro 22",Bergamo,,24100,Italy,608.0
10301,WANDK,8,1996-09-09,1996-10-07,1996-09-17,2,45.08,"Die Wandernde Kuh","Adenauerallee 900",Stuttgart,,70563,Germany,755.0
10302,SUPRD,4,1996-09-10,1996-10-08,1996-10-09,2,6.27,"Suprêmes délices","Boulevard Tirou 255",Charleroi,,B-6000,Belgium,2708.8
10303,GODOS,7,1996-09-11,1996-10-09,1996-09-18,2,107.83,"Godos Cocina Típica","C/ Romero 33",Sevilla,,41101,Spain,1117.8
10304,TORTU,1,1996-09-12,1996-10-10,1996-09-17,2,63.79,"Tortuga Restaurante","Avda. Azteca 123","México D.F.",,5033,Mexico,954.4
10305,OLDWO,8,1996-09-13,1996-10-11,1996-10-09,3,257.62,"Old World Delicatessen","2743 Bering St.",Anchorage,AK,99508,USA,3741.3
10306,ROMEY,1,1996-09-16,1996-10-14,1996-09-23,3,7.56,"Romero y tomillo","Gran Vía 1",Madrid,,28001,Spain,498.5
10307,LONEP,2,1996-09-17,1996-10-15,1996-09-25,2,0.56,"Lonesome Pine Restaurant","89 Chiaroscuro Rd.",Portland,OR,97219,USA,424.0
10308,ANATR,7,1996-09-18,1996-10-16,1996-09-24,3,1.61,"Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.",,5021,Mexico,88.8
10309,HUNGO,3,1996-09-19,1996-10-17,1996-10-23,1,47.3,"Hungry Owl All-Night Grocers","8 Johnstown Road",Cork,"Co. Cork",,Ireland,1762.0
10310,THEBI,8,1996-09-20,1996-10-18,1996-09-27,2,17.52,"The Big Cheese","89 Jefferson Way Suite 2",Portland,OR,97201,USA,336.0
10311,DUMON,1,1996-09-20,1996-10-04,1996-09-26,3,24.69,"Du monde entier","67 rue des Cinquante Otages",Nantes,,44000,France,268.8
10312,WANDK,2,1996-09-23,1996-10-21,1996-10-03,2,40.26,"Die Wandernde Kuh","Adenauerallee 900",Stuttgart,,70563,Germany,1614.8
10313,QUICK,2,1996-09-24,1996-10-22,1996-10-04,2,1.96,QUICK-Stop,"Taucherstraße 10",Cunewalde,,1307,Germany,182.4
10314,RATTC,1,1996-09-25,1996-10-23,1996-10-04,2,74.16,"Rattlesnake Canyon Grocery","2817 Milton Dr.",Albuquerque,NM,87110,USA,2094.3
10315,ISLAT,4,1996-09-26,1996-10-24,1996-10-03,2,41.76,"Island Trading","Garden House Crowther Way",Cowes,"Isle of Wight","PO31 7PJ",UK,516.8
10316,RATTC,1,1996-09-27,1996-10-25,1996-10-08,3,150.15,"Rattlesnake Canyon Grocery","2817 Milton Dr.",Albuquerque,NM,87110,USA,2835.0
10317,LONEP,6,1996-09-30,1996-10-28,1996-10-10,1,12.69,"Lonesome Pine Restaurant","89 Chiaroscuro Rd.",Portland,OR,97219,USA,288.0
10318,ISLAT,8,1996-10-01,1996-10-29,1996-10-04,2,4.73,"Island Trading","Garden House Crowther Way",Cowes,"Isle of Wight","PO31 7PJ",UK,240.4
10319,TORTU,7,1996-10-02,1996-10-30,1996-10-11,3,64.5,"Tortuga Restaurante","Avda. Azteca 123","México D.F.",,5033,Mexico,1191.2
10320,WARTH,5,1996-10-03,1996-10-17,1996-10-18,3,34.57,"Wartian Herkku","Torikatu 38",Oulu,,90110,Finland,516.0
10321,ISLAT,3,1996-10-03,1996-10-31,1996-10-11,2,3.43,"Island Trading","Garden House Crowther Way",Cowes,"Isle of Wight","PO31 7PJ",UK,144.0
10322,PERIC,7,1996-10-04,1996-11-01,1996-10-23,3,0.4,"Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.",,5033,Mexico,112.0
10323,KOENE,4,1996-10-07,1996-11-04,1996-10-14,1,4.88,"Königlich Essen","Maubelstr. 90",Brandenburg,,14776,Germany,164.4
10324,SAVEA,9,1996-10-08,1996-11-05,1996-10-10,1,214.27,"Save-a-lot Markets","187 Suffolk Ln.",Boise,ID,83720,USA,5275.715
10325,KOENE,1,1996-10-09,1996-10-23,1996-10-14,3,64.86,"Königlich Essen","Maubelstr. 90",Brandenburg,,14776,Germany,1497.0
10326,BOLID,4,1996-10-10,1996-11-07,1996-10-14,2,77.92,"Bólido Comidas preparadas","C/ Araquil 67",Madrid,,28023,Spain,982.0
10327,FOLKO,2,1996-10-11,1996-11-08,1996-10-14,1,63.36,"Folk och fä HB","Åkergatan 24","Bräcke",,"S-844 67",Sweden,1810.0
10328,FURIB,4,1996-10-14,1996-11-11,1996-10-17,3,87.03,"Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32",Lisboa,,1675,Portugal,1168.0
10329,SPLIR,4,1996-10-15,1996-11-26,1996-10-23,2,191.67,"Split Rail Beer & Ale","P.O. Box 555",Lander,WY,82520,USA,4578.43
10330,LILAS,3,1996-10-16,1996-11-13,1996-10-28,1,12.75,LILA-Supermercado,"Carrera 52 con Ave. Bolívar #65-98 Llano Largo",Barquisimeto,Lara,3508,Venezuela,1649.0
10331,BONAP,9,1996-10-16,1996-11-27,1996-10-21,1,10.19,"Bon app'","12 rue des Bouchers",Marseille,,13008,France,88.5
10332,MEREP,3,1996-10-17,1996-11-28,1996-10-21,2,52.84,"Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3",Canada,1786.88
10333,WARTH,5,1996-10-18,1996-11-15,1996-10-25,3,0.59,"Wartian Herkku","Torikatu 38",Oulu,,90110,Finland,877.2
10334,VICTE,8,1996-10-21,1996-11-18,1996-10-28,2,8.56,"Victuailles en stock","2 rue du Commerce",Lyon,,69004,France,144.8
10335,HUNGO,7,1996-10-22,1996-11-19,1996-10-24,2,42.11,"Hungry Owl All-Night Grocers","8 Johnstown Road",Cork,"Co. Cork",,Ireland,2036.16
10336,PRINI,7,1996-10-23,1996-11-20,1996-10-25,2,15.51,"Princesa Isabel Vinhos","Estrada da saúde n. 58",Lisboa,,1756,Portugal,285.12
10337,FRANK,4,1996-10-24,1996-11-21,1996-10-29,3,108.26,Frankenversand,"Berliner Platz 43","München",,80805,Germany,2467.0
10338,OLDWO,4,1996-10-25,1996-11-22,1996-10-29,3,84.21,"Old World Delicatessen","2743 Bering St.",Anchorage,AK,99508,USA,934.5
10339,MEREP,2,1996-10-28,1996-11-25,1996-11-04,2,15.66,"Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3",Canada,3354.0
10340,BONAP,1,1996-10-29,1996-11-26,1996-11-08,3,166.31,"Bon app'","12 rue des Bouchers",Marseille,,13008,France,2436.18
10341,SIMOB,7,1996-10-29,1996-11-26,1996-11-05,3,26.78,"Simons bistro","Vinbæltet 34",Kobenhavn,,1734,Denmark,352.6
10342,FRANK,4,1996-10-30,1996-11-13,1996-11-04,2,54.83,Frankenversand,"Berliner Platz 43","München",,80805,Germany,1840.64
10343,LEHMS,4,1996-10-31,1996-11-28,1996-11-06,1,110.37,"Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.",,60528,Germany,1584.0
10344,WHITC,4,1996-11-01,1996-11-29,1996-11-05,2,23.29,"White Clover Markets","1029 - 12th Ave. S.",Seattle,WA,98124,USA,2296.0
10345,QUICK,2,1996-11-04,1996-12-02,1996-11-11,2,249.06,QUICK-Stop,"Taucherstraße 10",Cunewalde,,1307,Germany,2924.8
10346,RATTC,3,1996-11-05,1996-12-17,1996-11-08,3,142.08,"Rattlesnake Canyon Grocery","2817 Milton Dr.",Albuquerque,NM,87110,USA,1618.88
10347,FAMIA,4,1996-11-06,1996-12-04,1996-11-08,3,3.1,"Familia Arquibaldo","Rua Orós 92","Sao Paulo",SP,05442-030,Brazil,814.42
10348,WANDK,4,1996-11-07,1996-12-05,1996-11-15,2,0.78,"Die Wandernde Kuh","Adenauerallee 900",Stuttgart,,70563,Germany,363.6
10349,SPLIR,7,1996-11-08,1996-12-06,1996-11-15,1,8.63,"Split Rail Beer & Ale","P.O. Box 555",Lander,WY,82520,USA,141.6
10350,LAMAI,6,1996-11-11,1996-12-09,1996-12-03,2,64.19,"La maison d'Asie","1 rue Alsace-Lorraine",Toulouse,,31000,France,642.06
10351,ERNSH,1,1996-11-11,1996-12-09,1996-11-20,1,162.33,"Ernst Handel","Kirchgasse 6",Graz,,8010,Austria,5398.725
10352,FURIB,3,1996-11-12,1996-11-26,1996-11-18,3,1.3,"Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32",Lisboa,,1675,Portugal,136.3
10353,PICCO,7,1996-11-13,1996-12-11,1996-11-25,3,360.63,"Piccolo und mehr","Geislweg 14",Salzburg,,5020,Austria,8593.28
10354,PERIC,8,1996-11-14,1996-12-12,1996-11-20,3,53.8,"Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.",,5033,Mexico,568.8
10355,AROUT,6,1996-11-15,1996-12-13,1996-11-20,1,41.95,"Around the Horn","Brook Farm Stratford St. Mary",Colchester,Essex,"CO7 6JX",UK,480.0
10356,WANDK,6,1996-11-18,1996-12-16,1996-11-27,2,36.71,"Die Wandernde Kuh","Adenauerallee 900",Stuttgart,,70563,Germany,1106.4
10357,LILAS,1,1996-11-19,1996-12-17,1996-12-02,3,34.88,LILA-Supermercado,"Carrera 52 con Ave. Bolívar #65-98 Llano Largo",Barquisimeto,Lara,3508,Venezuela,1167.68
10358,LAMAI,5,1996-11-20,1996-12-18,1996-11-27,1,19.64,"La maison d'Asie","1 rue Alsace-Lorraine",Toulouse,,31000,France,429.4
10359,SEVES,5,1996-11-21,1996-12-19,1996-11-26,3,288.43,"Seven Seas Imports","90 Wadhurst Rd.",London,,"OX15 4NB",UK,3471.68
10360,BLONP,4,1996-11-22,1996-12-20,1996-12-02,3,131.7,"Blondel père et fils","24 place Kléber",Strasbourg,,67000,France,7390.2
10361,QUICK,1,1996-11-22,1996-12-20,1996-12-03,2,183.17,QUICK-Stop,"Taucherstraße 10",Cunewalde,,1307,Germany,2046.24
10362,BONAP,3,1996-11-25,1996-12-23,1996-11-28,1,96.04,"Bon app'","12 rue des Bouchers",Marseille,,13008,France,1549.6
10363,DRACD,4,1996-11-26,1996-12-24,1996-12-04,3,30.54,"Drachenblut Delikatessen","Walserweg 21",Aachen,,52066,Germany,447.2
10364,EASTC,1,1996-11-26,1997-01-07,1996-12-04,1,71.97,"Eastern Connection","35 King George",London,,"WX3 6FW",UK,950.0
10365,ANTON,3,1996-11-27,1996-12-25,1996-12-02,2,22.0,"Antonio Moreno Taquería","Mataderos  2312","México D.F.",,5023,Mexico,403.2
10366,GALED,8,1996-11-28,1997-01-09,1996-12-30,2,10.14,"Galería del gastronómo","Rambla de Cataluña 23",Barcelona,,8022,Spain,136.0
10367,VAFFE,7,1996-11-28,1996-12-26,1996-12-02,3,13.55,Vaffeljernet,"Smagsloget 45","Århus",,8200,Denmark,834.2
10368,ERNSH,2,1996-11-29,1996-12-27,1996-12-02,2,101.95,"Ernst Handel","Kirchgasse 6",Graz,,8010,Austria,1689.78
10369,SPLIR,8,1996-12-02,1996-12-30,1996-12-09,2,195.68,"Split Rail Beer & Ale","P.O. Box 555",Lander,WY,82520,USA,2390.4
10370,CHOPS,6,1996-12-03,1996-12-31,1996-12-27,2,1.17,"Chop-suey Chinese","Hauptstr. 31",Bern,,3012,Switzerland,1117.6
10371,LAMAI,1,1996-12-03,1996-12-31,1996-12-24,1,0.45,"La maison d'Asie","1 rue Alsace-Lorraine",Toulouse,,31000,France,72.96
10372,QUEEN,5,1996-12-04,1997-01-01,1996-12-09,2,890.78,"Queen Cozinha","Alameda dos Canàrios 891","Sao Paulo",SP,05487-020,Brazil,9210.9
10373,HUNGO,4,1996-12-05,1997-01-02,1996-12-11,3,124.12,"Hungry Owl All-Night Grocers","8 Johnstown Road",Cork,"Co. Cork",,Ireland,1366.4
10374,WOLZA,1,1996-12-05,1997-01-02,1996-12-09,3,3.94,"Wolski Zajazd","ul. Filtrowa 68",Warszawa,,01-012,Poland,459.0
10375,HUNGC,3,1996-12-06,1997-01-03,1996-12-09,2,20.12,"Hungry Coyote Import Store","City Center Plaza 516 Main St.",Elgin,OR,97827,USA,338.0
10376,MEREP,1,1996-12-09,1997-01-06,1996-12-13,2,20.39,"Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3",Canada,399.0
10377,SEVES,1,1996-12-09,1997-01-06,1996-12-13,3,22.21,"Seven Seas Imports","90 Wadhurst Rd.",London,,"OX15 4NB",UK,863.6
10378,FOLKO,5,1996-12-10,1997-01-07,1996-12-19,3,5.44,"Folk och fä HB","Åkergatan 24","Bräcke",,"S-844 67",Sweden,103.2
10379,QUEDE,2,1996-12-11,1997-01-08,1996-12-13,1,45.03,"Que Delícia","Rua da Panificadora 12","Rio de Janeiro",RJ,02389-673,Brazil,863.28
10380,HUNGO,8,1996-12-12,1997-01-09,1997-01-16,3,35.03,"Hungry Owl All-Night Grocers","8 Johnstown Road",Cork,"Co. Cork",,Ireland,1313.82
10381,LILAS,3,1996-12-12,1997-01-09,1996-12-13,3,7.99,LILA-Supermercado,"Carrera 52 con Ave. Bolívar #65-98 Llano Largo",Barquisimeto,Lara,3508,Venezuela,112.0
10382,ERNSH,4,1996-12-13,1997-01-10,1996-12-16,1,94.77,"Ernst Handel","Kirchgasse 6",Graz,,8010,Austria,2900.0
10383,AROUT,8,1996-12-16,1997-01-13,1996-12-18,3,34.24,"Around the Horn","Brook Farm Stratford St. Mary",Colchester,Essex,"CO7 6JX",UK,899.0
10384,BERGS,3,1996-12-16,1997-01-13,1996-12-20,3,168.64,"Berglunds snabbköp","Berguvsvägen  8","Luleå",,"S-958 22",Sweden,2222.4
10385,SPLIR,1,1996-12-17,1997-01-14,1996-12-23,2,30.96,"Split Rail Beer & Ale","P.O. Box 555",Lander,WY,82520,USA,691.2
10386,FAMIA,9,1996-12-18,1997-01-01,1996-12-25,3,13.99,"Familia Arquibaldo","Rua Orós 92","Sao Paulo",SP,05442-030,Brazil,166.0
10387,SANTG,1,1996-12-18,1997-01-15,1996-12-20,2,93.63,"Santé Gourmet","Erling Skakkes gate 78",Stavern,,4110,Norway,1058.4
10388,SEVES,2,1996-12-19,1997-01-16,1996-12-20,1,34.86,"Seven Seas Imports","90 Wadhurst Rd.",London,,"OX15 4NB",UK,1228.8
10389,BOTTM,4,1996-12-20,1997-01-17,1996-12-24,2,47.42,"Bottom-Dollar Markets","23 Tsawassen Blvd.",Tsawassen,BC,"T2F 8M4",Canada,1832.8
10390,ERNSH,6,1996-12-23,1997-01-20,1996-12-26,1,126.38,"Ernst Handel","Kirchgasse 6",Graz,,8010,Austria,2090.88
10391,DRACD,3,1996-12-23,1997-01-20,1996-12-31,3,5.45,"Drachenblut Delikatessen","Walserweg 21",Aachen,,52066,Germany,86.4
10392,PICCO,2,1996-12-24,1997-01-21,1997-01-01,3,122.46,"Piccolo und mehr","Geislweg 14",Salzburg,,5020,Austria,1440.0
10393,SAVEA,1,1996-12-25,1997-01-22,1997-01-03,3,126.56,"Save-a-lot Markets","187 Suffolk Ln.",Boise,ID,83720,USA,2556.95
10394,HUNGC,1,1996-12-25,1997-01-22,1997-01-03,3,30.34,"Hungry Coyote Import Store","City Center Plaza 516 Main St.",Elgin,OR,97827,USA,442.0
10395,HILAA,6,1996-12-26,1997-01-23,1997-01-03,1,184.41,HILARION-Abastos,"Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira",5022,Venezuela,2122.92
10396,FRANK,1,1996-12-27,1997-01-10,1997-01-06,3,135.35,Frankenversand,"Berliner Platz 43","München",,80805,Germany,1903.8
10397,PRINI,5,1996-12-27,1997-01-24,1997-01-02,1,60.26,"Princesa Isabel Vinhos","Estrada da saúde n. 58",Lisboa,,1756,Portugal,716.72
10398,SAVEA,2,1996-12-30,1997-01-27,1997-01-09,3,89.16,"Save-a-lot Markets","187 Suffolk Ln.",Boise,ID,83720,USA,2505.6
10399,VAFFE,8,1996-12-31,1997-01-14,1997-01-08,3,27.36,Vaffeljernet,"Smagsloget 45","Århus",,8200,Denmark,1765.6
10400,EASTC,1,1997-01-01,1997-01-29,1997-01-16,3,83.93,"Eastern Connection","35 King George",London,,"WX3 6FW",UK,3063.0
10401,RATTC,1,1997-01-01,1997-01-29,1997-01-10,1,12.51,"Rattlesnake Canyon Grocery","2817 Milton Dr.",Albuquerque,NM,87110,USA,3868.6
10402,ERNSH,8,1997-01-02,1997-02-13,1997-01-10,2,67.88,"Ernst Handel","Kirchgasse 6",Graz,,8010,Austria,2713.5
10403,ERNSH,4,1997-01-03,1997-01-31,1997-01-09,3,73.79,"Ernst Handel","Kirchgasse 6",Graz,,8010,Austria,855.015
10404,MAGAA,2,1997-01-03,1997-01-31,1997-01-08,1,155.97,"Magazzini Alimentari Riuniti","Via Ludovico il Moro 22",Bergamo,,24100,Italy,1591.25
10405,LINOD,1,1997-01-06,1997-02-03,1997-01-22,1,34.82,LINO-Delicateses,"Ave. 5 de Mayo Porlamar","I. de Margarita","Nueva Esparta",4980,Venezuela,400.0
10406,QUEEN,7,1997-01-07,1997-02-18,1997-01-13,1,108.04,"Queen Cozinha","Alameda dos Canàrios 891","Sao Paulo",SP,05487-020,Brazil,1830.78
10407,OTTIK,2,1997-01-07,1997-02-04,1997-01-30,2,91.48,"Ottilies Käseladen","Mehrheimerstr. 369","Köln",,50739,Germany,1194.0
10408,FOLIG,8,1997-01-08,1997-02-05,1997-01-14,1,11.26,"Folies gourmandes","184 chaussée de Tournai",Lille,,59000,France,1622.4
10409,OCEAN,3,1997-01-09,1997-02-06,1997-01-14,1,29.83,"Océano Atlántico Ltda.","Ing. Gustavo Moncada 8585 Piso 20-A","Buenos Aires",,1010,Argentina,319.2
10410,BOTTM,3,1997-01-10,1997-02-07,1997-01-15,3,2.4,"Bottom-Dollar Markets","23 Tsawassen Blvd.",Tsawassen,BC,"T2F 8M4",Canada,802.0
10411,BOTTM,9,1997-01-10,1997-02-07,1997-01-21,3,23.65,"Bottom-Dollar Markets","23 Tsawassen Blvd.",Tsawassen,BC,"T2F 8M4",Canada,966.8
10412,WARTH,8,1997-01-13,1997-02-10,1997-01-15,2,3.77,"Wartian Herkku","Torikatu 38",Oulu,,90110,Finland,334.8
10413,LAMAI,3,1997-01-14,1997-02-11,1997-01-16,2,95.66,"La maison d'Asie","1 rue Alsace-Lorraine",Toulouse,,31000,France,2123.2
10414,FAMIA,2,1997-01-14,1997-02-11,1997-01-17,3,21.48,"Familia Arquibaldo","Rua Orós 92","Sao Paulo",SP,05442-030,Brazil,224.83
10415,HUNGC,3,1997-01-15,1997-02-12,1997-01-24,1,0.2,"Hungry Coyote Import Store","City Center Plaza 516 Main St.",Elgin,OR,97827,USA,102.4
10416,WARTH,8,1997-01-16,1997-02-13,1997-01-27,3,22.72,"Wartian Herkku","Torikatu 38",Oulu,,90110,Finland,720.0
10417,SIMOB,4,1997-01-16,1997-02-13,1997-01-28,3,70.29,"Simons bistro","Vinbæltet 34",Kobenhavn,,1734,Denmark,11188.4
